States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date,Season
Tamil Nadu,2753.75,2800.0,2372.33,6500.0,14550.0,15125.0,9950.0,8400.0,3165.0,,12269.75,,7686.5,,9011.5,5691.25,3768.75,,1490.0,1725.0,1900.0,2625.0,2016-01-01,2
Tamil Nadu,3156.25,2790.0,2463.33,12175.0,8350.0,9412.5,6375.0,6200.0,3922.5,,14292.25,,8606.75,,9135.0,7169.5,4566.25,,1537.5,1350.0,1175.0,625.0,2017-01-01,2
Tamil Nadu,3366.67,2660.0,2353.33,6266.67,6250.0,6666.67,6483.33,5000.0,3793.33,,12831.33,,8744.0,,8835.33,6998.67,4933.33,,1466.67,1333.33,3566.67,566.67,2018-01-01,2
Tamil Nadu,3100.0,2970.0,3084.0,6460.0,7000.0,7840.0,7350.0,5280.0,3388.0,,14161.2,,8238.4,,9527.2,6875.4,4466.6,,1536.0,1800.0,1240.0,1420.0,2019-01-01,2
Tamil Nadu,2631.0,2750.0,2336.75,6120.0,12540.0,13840.0,9040.0,6900.0,3424.0,,12068.0,,7775.4,,8890.8,5662.8,3895.0,,1510.0,1600.0,1540.0,800.0,2016-02-01,3
Tamil Nadu,3302.0,2836.0,2572.5,9360.0,6980.0,9230.0,6280.0,5750.0,4190.0,,13888.2,,8600.4,,9132.0,7273.8,4606.0,,1550.0,1460.0,1160.0,1980.0,2017-02-01,3
Tamil Nadu,3301.0,2736.0,2555.0,5940.0,6320.0,6600.0,6650.0,5100.0,3590.0,,12775.4,,8784.6,,8982.2,7005.6,4820.0,,1500.0,1325.0,2500.0,600.0,2018-02-01,3
Tamil Nadu,3040.0,2960.0,2938.0,6300.0,8050.0,7690.0,7640.0,5780.0,3390.0,,13893.2,,8306.0,,9435.0,7156.2,4443.4,,1550.0,1880.0,1060.0,1200.0,2019-02-01,3
Tamil Nadu,2475.0,2740.0,2286.75,5820.0,11520.0,13300.0,8540.0,6150.0,3452.0,,12013.0,,7798.4,,9044.2,6314.0,3764.0,,1530.0,1460.0,1300.0,660.0,2016-03-01,3
Tamil Nadu,3275.0,2835.0,2496.67,7500.0,6600.0,8750.0,6200.0,5400.0,4315.0,,14112.25,,8811.75,,9120.0,7011.0,4500.0,,1562.5,1300.0,1200.0,2350.0,2017-03-01,3
Tamil Nadu,3126.6,2736.0,2525.0,5580.0,6510.0,6780.0,6790.0,5000.0,3690.0,,12840.6,,8698.4,,9054.2,7172.6,4600.0,,1500.0,1380.0,1560.0,660.0,2018-03-01,3
Tamil Nadu,3080.0,2960.0,2940.0,6260.0,8060.0,7640.0,7740.0,5820.0,3462.0,,14024.0,10000.0,8001.0,,9559.8,7097.2,4280.0,,1602.0,1620.0,980.0,1060.0,2019-03-01,3
Tamil Nadu,2411.0,2640.0,2324.25,5940.0,11400.0,13110.0,8260.0,6700.0,3680.0,,12431.0,,8009.2,,9000.2,6623.0,3667.0,,1530.0,1740.0,1200.0,740.0,2016-04-01,3
Tamil Nadu,3275.0,2810.0,2533.33,7625.0,6850.0,9325.0,6725.0,5700.0,4285.0,,14250.0,,8701.75,,9065.0,6749.25,4375.0,,1562.5,1375.0,1050.0,2025.0,2017-04-01,3
Tamil Nadu,3060.0,2652.0,2525.0,5312.5,6440.0,6450.0,6725.0,4900.0,3488.0,,12774.4,,8620.75,,9142.0,7743.75,4600.0,,1500.0,1440.0,1240.0,1020.0,2018-04-01,3
Tamil Nadu,3080.0,2960.0,2900.0,6130.0,8020.0,7420.0,7590.0,5508.0,3438.0,,13867.2,9750.0,8025.0,,9447.6,6753.0,4336.6,,1584.0,1620.0,1020.0,1640.0,2019-04-01,3
Tamil Nadu,2390.0,2775.0,2470.0,7000.0,13900.0,16500.0,8550.0,,3990.0,,13955.5,,7600.0,,9120.0,7005.0,3750.0,,1550.0,1900.0,1350.0,2900.0,2016-05-01,3
Tamil Nadu,3165.0,2785.0,2600.0,7750.0,6850.0,9425.0,6775.0,5400.0,4215.0,,14442.75,,8674.25,,9065.0,6446.0,4425.0,,1562.5,1375.0,1000.0,800.0,2017-05-01,3
Tamil Nadu,3200.0,2666.67,2353.33,5133.33,6300.0,6566.67,6700.0,4800.0,3123.33,,13040.0,,8881.67,,9133.33,8198.33,4533.33,,1466.67,1966.67,1000.0,833.33,2018-05-01,3
